label,text,lex_feats
1,"Bola ústretová,milá a komunikatívna .Šikovná slečna.Ďakujem","[0.6289682388305664, 0.08985260874032974, 7.0, 0.875, 0.9345238208770752, -0.3055555522441864, 0.5416666865348816, -0.25, 1.0, 0.0]"
1,"dobrá obsluha, pekná baba.","[1.0018938779830933, 0.2504734694957733, 4.0, 1.0, 1.0018938779830933, 0.0, 0.5852272510528564, 0.0, 1.0, 0.0]"
1,"Prijemne vystupovanie, ochota  pomôcť","[0.1845238208770752, 0.0615079402923584, 3.0, 0.75, 0.1845238208770752, 0.0, 0.1428571492433548, 0.0, 0.0, 0.0]"
1,Za ochotu,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Ďakujem za rýchle vybavenie a ústretovosť,"[0.011408727616071701, 0.0028521819040179253, 4.0, 0.6666666865348816, 0.0669642835855484, -0.0555555559694767, 0.0357142873108387, -0.0555555559694767, 0.0, 0.0]"
1,Ochotný personál.,"[0.34375, 0.171875, 2.0, 1.0, 0.34375, 0.0, 0.34375, 0.0, 0.0, 0.0]"
1,"Je vždy milá a ochotná poradiť a pomôcť, ja  chodím najradšej len na túto pobočku a vždy som rada keď ma obsluhuje slečna Michaela.","[0.9598214626312256, 0.0479910746216774, 20.0, 0.8333333134651184, 1.438988208770752, -0.4791666567325592, 0.5416666865348816, -0.1875, 1.0, 0.0]"
1,príjemný personál,"[0.2678571343421936, 0.1339285671710968, 2.0, 1.0, 0.2678571343421936, 0.0, 0.2678571343421936, 0.0, 0.0, 0.0]"
1,"Vyšiel mi v ústrety a hoci moja požiadavka nebola vybavená ihneď,bude ma kontaktovať a pomôže mi moju požiadavku vybaviť.","[-0.32003965973854065, -0.02133597806096077, 15.0, 0.75, 0.22857144474983215, -0.5486111044883728, 0.1428571492433548, -0.25, 0.0, 0.0]"
1,vzdy volny stojan a prijemny personal,"[-0.08472222089767456, -0.04236111044883728, 2.0, 0.3333333432674408, 0.0, -0.08472222089767456, 0.0, -0.0555555559694767, 0.0, 0.0]"
1,Poradil nám lepší variant  pri výbere karty <COMPANY4> voľnosť s využitím internetu.,"[0.27806156873703003, 0.03089573048055172, 9.0, 0.75, 0.7227272391319275, -0.44466567039489746, 0.5852272510528564, -0.1607142835855484, 1.0, 0.0]"
0,Neskutočne dlhé riešenie ...,"[0.3125, 0.15625, 2.0, 0.6666666865348816, 0.3125, 0.0, 0.25, 0.0, 0.0, 0.0]"
1,super ochotna obsluha.,"[0.41874998807907104, 0.13958333432674408, 3.0, 1.0, 0.41874998807907104, 0.0, 0.34375, 0.0, 0.0, 0.0]"
1,ďakujem za vysvetlenie vecí a trpezlivosť :),"[-0.07966269552707672, -0.015932539477944374, 5.0, 0.8333333134651184, 0.06964285671710968, -0.1493055522441864, 0.0446428582072258, -0.09375, 0.0, 0.0]"
0,"zamestnanec ma zle informoval o mojom bonuse a tvrdil mi celkom ine ako jeho kolegyna pred par dnami,,,o den neskor som tam zašla opät tak mi potvrdila ina pracovnička to co kolegyna-tak som nebola spokojná s vašim pracovnikom","[-0.7585316896438599, -0.030341267585754395, 25.0, 0.625, 0.36398810148239136, -1.122519850730896, 0.21875, -0.75, 0.0, 1.0]"
1,"Rýchle vybavenie a takmer bez čakania, dík!","[-0.1552579402923584, -0.025876322761178017, 6.0, 0.8571428656578064, 0.0669642835855484, -0.2222222238779068, 0.0357142873108387, -0.1666666716337204, 0.0, 0.0]"
0,Chýba tam Evo benzín je tam len Evo diesel tankujem tam pravidelne a Evo benzín by som privítal,"[-0.28234127163887024, -0.03137125074863434, 9.0, 0.5, 0.08571428805589676, -0.3680555522441864, 0.05000000074505806, -0.1875, 0.0, 0.0]"
1,"Všetko mi vysvetlil zrozumiteľne a stručne,bol veľmi milý...","[0.7039682865142822, 0.10056690126657486, 7.0, 0.7777777910232544, 0.759523868560791, -0.0555555559694767, 0.5416666865348816, -0.0555555559694767, 1.0, 0.0]"
1,Bola príjemná a rýchlo vybavila moju žiadosť,"[0.30061328411102295, 0.05010221526026726, 6.0, 0.8571428656578064, 0.35616880655288696, -0.0555555559694767, 0.2678571343421936, -0.0555555559694767, 0.0, 0.0]"
1,Šikovný mladý muž takto by mali pracovať aj ostatní zamestnanci.,"[-0.2566964328289032, -0.0320870541036129, 8.0, 0.800000011920929, 0.4620535671710968, -0.71875, 0.375, -0.625, 0.0, 1.0]"
1,"vsetko v poriadku,dakujem","[0.1041666641831398, 0.0520833320915699, 2.0, 0.5, 0.1041666641831398, 0.0, 0.1041666641831398, 0.0, 0.0, 0.0]"
0,Pekny vecer prajem chcem Vas poprosit som dochodkina uz som vas viac krat poziadala s mojov pladbov chodia mi upomienky za ktore musim zaplatit mam dochodok v mesiaci 25 skor nemozem zaplatit tak vas prosim o vyhovenie mojej poziadavky....Dakujem.,"[-0.1301136314868927, -0.011828511953353882, 11.0, 0.28205129504203796, 0.13571429252624512, -0.26582789421081543, 0.10000000149011612, -0.1607142835855484, 0.0, 0.0]"
1,super personal ochotny a cistota prevadzky super,"[0.09444445371627808, 0.031481485813856125, 3.0, 0.4285714328289032, 0.15000000596046448, -0.0555555559694767, 0.07500000298023224, -0.0555555559694767, 0.0, 0.0]"
1,profesionalna a prijemna,"[-0.0555555559694767, -0.0555555559694767, 1.0, 0.3333333432674408, 0.0, -0.0555555559694767, 0.0, -0.0555555559694767, 0.0, 0.0]"
1,"Dobra cena PHM, čistota, príjemná obsluha","[0.4928571581840515, 0.12321428954601288, 4.0, 0.6666666865348816, 0.4928571581840515, 0.0, 0.2678571343421936, 0.0, 0.0, 0.0]"
1,"Prijemne vystupovanie,  ochota,  bezproblemove vybavenie","[0.0729166716337204, 0.02430555783212185, 3.0, 0.6000000238418579, 0.0729166716337204, 0.0, 0.0416666679084301, 0.0, 0.0, 0.0]"
0,"Dobrý den, mohla by sa zlepšiť čistota wc, nefunkčný dávkovač mydla.... Dakujem.","[0.7581439018249512, 0.10830627381801605, 7.0, 0.5833333134651184, 0.8310605883598328, -0.0729166716337204, 0.5852272510528564, -0.0416666679084301, 1.0, 0.0]"
1,Cista nafta aj benzin super vedenie a obsluha,"[0.03415032848715782, 0.005691721569746733, 6.0, 0.75, 0.08970588445663452, -0.0555555559694767, 0.07500000298023224, -0.0555555559694767, 0.0, 0.0]"
1,Vdaka za uzasny pristup a ochotu.,"[-0.0555555559694767, -0.0555555559694767, 1.0, 0.1666666716337204, 0.0, -0.0555555559694767, 0.0, -0.0555555559694767, 0.0, 0.0]"
1,"Milý,  ochotný,  odborník","[0.8854166865348816, 0.2951388955116272, 3.0, 1.0, 0.8854166865348816, 0.0, 0.5416666865348816, 0.0, 1.0, 0.0]"
1,prijemny,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0,Asistentka Denisa bola super ale čo mi skôr vadí je že na zákazníckej linke keď je predĺžená doba čakania na operátora  mi nepovie koľkí som v poradí iba mi povie že koľko minút budem čakať na operátora bola by super keby som vedel koľko je predomnou volajúcich zákazníkov,"[0.3972909450531006, 0.013243031688034534, 30.0, 0.625, 0.5785409212112427, -0.18125000596046448, 0.10000000149011612, -0.10000000149011612, 0.0, 0.0]"
1,bola som spokojna,"[0.2544642984867096, 0.0848214328289032, 3.0, 1.0, 0.2544642984867096, 0.0, 0.21875, 0.0, 0.0, 0.0]"
1,spokojnosť,"[0.10000000149011612, 0.10000000149011612, 1.0, 1.0, 0.10000000149011612, 0.0, 0.10000000149011612, 0.0, 0.0, 0.0]"
1,Profesionalne  vybaveny som bol,"[0.0357142873108387, 0.01785714365541935, 2.0, 0.5, 0.0357142873108387, 0.0, 0.01785714365541935, 0.0, 0.0, 0.0]"
1,Všetko OK,"[0.1875, 0.1875, 1.0, 0.5, 0.1875, 0.0, 0.1875, 0.0, 0.0, 0.0]"
0,Mohol by byt milsi. Nezaskodilo keby sa pri telefonovani usmieval. Pocut to potom v telefóne a aj hlas je príjemnejší.,"[0.2480158656835556, 0.027557319030165672, 9.0, 0.44999998807907104, 0.3035714328289032, -0.0555555559694767, 0.2678571343421936, -0.0555555559694767, 0.0, 0.0]"
1,"parada,dakujem.spokojnost.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"Príjemné vystupovanie ,fajn prístup ,ústretovosť.","[0.5942460298538208, 0.1485615074634552, 4.0, 0.800000011920929, 0.5942460298538208, 0.0, 0.3125, 0.0, 0.0, 0.0]"
1,"Maximálna spokojnosť,moje požiadavky boli vybavené na profesionálnej úrovni.Želám aj naďalej veľa pracovných úspechov a mnoho spokojných zákazníkov.","[1.2486110925674438, 0.08324074000120163, 15.0, 0.7894737124443054, 1.3041666746139526, -0.0555555559694767, 0.3214285671710968, -0.0555555559694767, 0.0, 0.0]"
1,"Príjemná komunikácia, ochotná, slušná","[0.9771374464035034, 0.24428436160087585, 4.0, 1.0, 0.9771374464035034, 0.0, 0.3541666567325592, 0.0, 0.0, 0.0]"
1,"Príjemný kolektív, profesionálny prístup, odborné poradenstvo.","[0.3382936716079712, 0.056382279843091965, 6.0, 1.0, 0.3382936716079712, 0.0, 0.2678571343421936, 0.0, 0.0, 0.0]"
1,"Milý a šikovný mladý muž. Vidno , že má prehľad a vyzná sa v odbore v ktorom pracuje :) Bola som veľmi spokojná","[1.2845734357833862, 0.08028583973646164, 16.0, 0.761904776096344, 1.3956845998764038, -0.1111111119389534, 0.5416666865348816, -0.0555555559694767, 1.0, 0.0]"
1,"Milá, prívetivá, ústretová","[0.5416666865348816, 0.5416666865348816, 1.0, 0.3333333432674408, 0.5416666865348816, 0.0, 0.5416666865348816, 0.0, 1.0, 0.0]"
1,"Bezkonkurenčne najlepšia čerpacia stanica ! Obsluha vždy milá, ochotna, dobre naladená . Plus tak čiste a voňave toalety a celu prevádzku som ešte nevidela .. :)","[1.9815566539764404, 0.1415397673845291, 14.0, 0.6363636255264282, 2.1655843257904053, -0.1840277761220932, 0.5852272510528564, -0.0555555559694767, 3.0, 0.0]"
1,"Momentálne v rekonštrukcii, ale je oveľa krajšia ako bola pred tým.","[0.5836309194564819, 0.058363091200590134, 10.0, 0.9090909361839294, 0.6148809194564819, -0.03125, 0.4166666567325592, -0.03125, 0.0, 0.0]"
0,"v nedelu cca o 9.30 som nahlasila poruchu internetu. komunikovala som so zenou, ktora mi povedala, ze moj problem posunie na technicke oddelenie ako urgentnu zalezitost a technik ma bude kontaktovat. ked ma cca do 16.30 nikto nekontaktoval, volala som do <COMPANY4> opat. tentokrat som hovorila s muzom, ktory mi prislubil, ze oslovi technika, aby bol problem vyrieseny. kedze ma opat nikto nekontaktoval, zavolala som do <COMPANY4> v pondelok rano po 3x. volala som s muzom, ktory mi oznamil, ze v nedelu sa moj problem ani riesit nemohol, pretoze technici cez vikend nepracuju. nepochopila som, preco ma operatori v nedelu informovali, ze sa spoja s technikmi, aby bol problem vyrieseny. pytam sa preto pre buducnost: riesite problemy vypadku internetu aj cez vikendy alebo nie? preco Vasi operatori infirmuju rozne?","[-1.2033066749572754, -0.018801666796207428, 64.0, 0.5039370059967041, 0.5242727994918823, -1.7275792360305786, 0.08749999850988388, -0.1875, 0.0, 0.0]"
1,Ochota a znalosti,"[0.3075396716594696, 0.10251322388648987, 3.0, 1.0, 0.363095223903656, -0.0555555559694767, 0.3214285671710968, -0.0555555559694767, 0.0, 0.0]"
1,Velmi dobry pristup,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0,Otras dlho trvalo vybavenie!!,"[0.09375, 0.03125, 3.0, 0.75, 0.21875, -0.125, 0.1875, -0.125, 0.0, 0.0]"
1,"Čisté záchody, príjemný personál","[0.4521520137786865, 0.11303800344467163, 4.0, 1.0, 0.4521520137786865, 0.0, 0.2678571343421936, 0.0, 0.0, 0.0]"
0,nie je Non-Stop prevadzka a chybaju mi tam aj premijove paliva na vasej cerpacej stanici ktore by som celkom ocenil keby tam boli,"[-0.24841271340847015, -0.01774376444518566, 14.0, 0.5833333134651184, 0.1130952388048172, -0.36150795221328735, 0.0416666679084301, -0.17499999701976776, 0.0, 0.0]"
1,Super ☺,"[0.07500000298023224, 0.07500000298023224, 1.0, 1.0, 0.07500000298023224, 0.0, 0.07500000298023224, 0.0, 0.0, 0.0]"
1,predajca na svojom mieste. Všetky informácie a možnosti som dostal. Ovláda svoju problematiku.,"[-0.2880032956600189, -0.036000411957502365, 8.0, 0.6153846383094788, 0.030052265152335167, -0.31805557012557983, 0.01785714365541935, -0.1875, 0.0, 0.0]"
1,Príjemná a ústretová smerom k zákazníkovi.,"[0.25316697359085083, 0.05063339322805405, 5.0, 0.8333333134651184, 0.30872252583503723, -0.0555555559694767, 0.2678571343421936, -0.0555555559694767, 0.0, 0.0]"
1,Príjemné prostredie a naozaj čisté parkovisko,"[0.5965964794158936, 0.09943274408578873, 6.0, 1.0, 0.6521520018577576, -0.0555555559694767, 0.2678571343421936, -0.0555555559694767, 0.0, 0.0]"
1,prijemne prostredie a dobra obsluha,"[0.5296716690063477, 0.13241791725158691, 4.0, 0.800000011920929, 0.5852272510528564, -0.0555555559694767, 0.5852272510528564, -0.0555555559694767, 1.0, 0.0]"
1,...vie  vysvetlit  info a ma trpezlivost  aj pri starsej generacii....dakujem  za sluzby...Monika,"[0.1736111044883728, 0.0347222201526165, 5.0, 0.3571428656578064, 0.2291666567325592, -0.0555555559694767, 0.125, -0.0555555559694767, 0.0, 0.0]"
1,"Lebo bol mily a ochotny a dufam, ze konecne sa mu podarilo vyriesit moj problem, nakolko niekolko jeho kolegov, s ktorymi som opakovane riesila moj problem, tak neurobilo :)","[-0.07986108958721161, -0.011408726684749126, 7.0, 0.25, 0.1919642835855484, -0.2718254029750824, 0.15625, -0.1607142835855484, 0.0, 0.0]"
